Date,ALB,AND,ARM,AUT,AZE,BEL,BGR,BIH,BLR,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,FRO,GBR,GEO,GIB,GRC,GRL,HRV,HUN,IMN,IRL,ISL,ITA,KAZ,KGZ,LIE,LTU,LUX,LVA,MCO,MDA,MKD,MNE,NLD,NOR,POL,PRT,ROU,RUS,SMR,SRB,SVK,SVN,SWE,TJK,TKM,TUR,UKR,UZB
2021-04,11.32,3.39,6.13,6.71,11.62,9.37,11.08,9.85,7.6,4.72,17.79,8.6,8.86,7.57,12.67,4.77,2.0,10.45,6.29,8.13,7.38,16.5,13.6,-20.11,12.02,12.14,8.63,8.92,0.46,11.8,8.29,1.51,5.4,6.86,8.79,6.0,12.9,10.75,10.53,8.55,9.29,1.44,8.68,14.28,10.44,-3.81,13.51,11.55,9.26,10.01,2.82,0.24,17.66,10.47,9.5,14.77
2021-07,21.95,14.34,18.47,16.54,24.15,17.62,22.27,20.0,18.63,14.66,27.64,18.22,18.05,16.46,22.54,16.88,14.96,19.11,10.36,14.9,18.91,23.05,24.48,-5.34,22.21,22.4,14.12,14.69,7.82,22.16,22.95,12.11,15.05,17.67,17.49,17.29,22.11,22.24,21.77,19.21,17.65,11.8,18.63,22.44,21.21,14.82,24.19,21.98,19.15,19.97,14.16,12.26,30.29,22.86,21.3,27.7
2021-10,15.17,7.37,8.8,8.36,13.8,11.6,13.59,12.29,8.38,7.3,22.53,9.64,10.64,10.83,15.73,7.96,4.46,12.9,8.33,10.83,9.76,19.93,17.41,-18.23,13.99,12.82,12.8,11.23,1.64,15.22,7.78,1.41,8.03,8.53,10.52,8.05,17.03,11.89,13.49,12.15,11.97,3.6,9.96,17.12,11.88,-2.1,16.93,13.27,9.94,11.57,5.23,1.26,16.42,13.96,10.46,13.49
2022-01,4.64,-1.86,-4.03,-2.17,2.18,3.63,2.42,1.22,-2.85,-2.81,12.94,-0.31,1.8,2.59,7.59,-1.91,-6.65,4.79,5.27,4.67,-1.46,14.36,7.46,-26.12,3.33,2.04,7.45,5.87,-3.16,5.47,-8.88,-10.84,-2.41,-1.73,2.28,-1.86,9.32,-0.09,2.1,1.54,4.1,-5.3,0.03,10.14,0.35,-19.88,7.16,2.01,-0.34,0.93,-4.52,-11.15,3.7,2.07,-1.31,-0.19
2022-04,11.67,3.36,6.77,7.02,12.12,9.49,11.75,10.09,8.4,5.05,17.93,8.94,9.37,7.68,12.47,6.16,2.18,10.46,6.12,8.08,8.02,16.56,14.02,-20.58,12.24,12.27,8.68,8.83,-0.18,11.99,8.8,1.67,6.0,7.66,9.06,7.02,12.99,11.39,10.92,8.92,9.75,1.4,9.08,14.01,10.96,-3.13,13.91,12.04,9.48,10.32,3.12,0.33,17.8,11.09,10.18,14.99
2022-07,22.19,14.27,18.71,16.43,24.25,17.41,22.51,20.04,18.43,14.6,27.76,18.18,18.06,16.48,22.68,17.09,14.8,19.11,10.6,15.03,19.13,23.33,24.68,-5.31,22.29,22.52,14.21,14.79,8.04,22.19,23.33,12.55,14.99,17.67,17.32,17.37,22.23,22.25,22.07,19.35,17.54,11.81,18.6,22.4,21.28,14.81,24.21,22.1,19.16,19.94,14.24,12.5,30.59,22.98,21.2,28.04
2022-10,14.6,7.43,9.65,8.19,14.61,11.39,13.38,11.87,8.19,6.71,22.48,9.79,10.53,10.64,15.83,7.75,4.26,12.82,8.59,10.79,10.35,20.19,17.1,-17.64,13.81,12.59,12.79,11.21,2.33,14.94,7.97,2.04,7.31,8.42,10.23,7.99,16.96,11.74,12.99,11.48,11.92,3.59,10.05,17.43,11.57,-1.92,16.66,12.82,9.96,11.46,5.11,1.64,16.64,14.29,10.19,13.62
2023-01,4.55,-1.71,-4.08,-2.12,2.46,3.56,2.07,1.44,-2.77,-2.7,12.83,0.04,1.65,2.58,7.52,-2.95,-7.03,4.8,5.31,4.62,-1.51,14.28,7.29,-25.94,3.55,1.8,7.43,5.73,-3.01,5.63,-8.93,-10.92,-2.46,-2.02,2.3,-2.79,9.41,-0.19,1.98,1.49,3.89,-5.5,0.21,9.95,0.08,-19.92,7.41,1.86,-0.39,1.06,-5.24,-11.09,4.2,1.79,-1.59,0.02
2023-04,12.04,3.63,6.69,7.05,11.91,9.49,11.87,10.23,7.39,5.23,17.93,8.78,9.07,7.37,12.67,4.8,1.07,10.61,6.09,8.04,8.05,16.41,14.21,-20.06,12.46,12.29,8.5,8.66,-0.19,12.27,8.34,1.57,5.77,6.76,9.01,5.85,13.13,10.97,11.27,9.2,9.34,0.73,8.73,14.12,10.87,-3.75,14.34,11.92,9.42,10.59,2.27,0.32,17.62,11.18,9.67,14.76
2023-07,22.28,14.57,18.2,16.79,23.86,18.14,22.48,20.38,18.91,15.04,27.77,18.71,18.82,17.0,22.94,17.31,15.28,19.82,10.64,15.35,18.84,23.12,24.65,-5.4,22.5,22.29,14.73,15.22,8.09,22.45,23.05,12.55,15.39,18.28,18.08,17.71,22.34,22.37,22.25,19.6,18.11,12.18,19.05,22.49,21.11,14.89,24.56,22.22,19.12,20.24,14.74,12.67,30.46,22.8,21.25,27.91
2023-10,14.79,7.46,9.26,8.23,14.26,11.33,13.4,12.0,8.4,7.06,22.47,9.63,10.24,10.34,15.94,7.78,4.23,12.87,8.68,10.93,10.14,20.32,17.19,-18.04,13.91,12.71,12.81,11.19,2.15,15.11,7.97,1.77,7.56,8.68,10.13,8.1,16.92,11.88,13.16,11.66,11.69,3.56,9.97,17.3,11.72,-1.92,16.76,12.91,10.14,11.64,5.0,1.62,17.18,14.19,10.47,13.83
2024-01,4.96,-1.61,-3.89,-1.42,2.33,3.9,2.44,2.08,-2.32,-2.08,13.16,0.31,2.0,3.02,7.79,-1.94,-6.02,5.09,5.67,5.12,-1.02,14.58,7.66,-26.43,4.05,2.23,7.8,6.37,-2.95,6.06,-8.92,-10.57,-1.53,-1.24,2.35,-1.62,9.68,-0.05,2.13,1.92,4.44,-5.03,0.44,10.2,0.54,-19.72,7.86,2.41,-0.14,1.64,-4.35,-11.09,4.06,2.22,-1.57,-0.12
2024-04,12.01,3.69,6.69,6.97,11.85,9.49,11.95,10.37,7.61,5.08,17.95,8.96,9.13,7.47,12.7,5.0,1.64,10.65,6.46,8.2,7.84,16.7,14.29,-19.8,12.43,12.25,8.65,8.96,0.32,12.11,7.8,1.59,5.8,6.95,9.06,5.99,13.19,11.11,11.37,9.29,9.42,1.02,8.76,14.4,10.85,-3.93,14.0,12.01,9.44,10.42,2.7,0.48,17.76,11.02,9.73,14.69
2024-07,22.26,14.85,18.64,16.3,24.24,17.73,22.33,20.25,18.35,14.52,27.98,18.0,18.05,16.67,22.87,16.73,14.72,19.41,10.56,15.09,19.16,23.21,24.67,-5.16,22.47,22.29,14.45,14.84,8.38,22.3,23.36,12.49,14.8,17.4,17.58,17.06,22.2,22.2,22.01,19.39,17.73,12.02,18.5,22.55,21.02,14.94,24.38,21.89,18.84,20.15,14.28,12.56,30.67,23.09,21.03,28.0
2024-10,14.9,7.1,9.66,7.84,14.59,11.38,13.54,11.85,7.99,6.81,22.7,9.32,10.16,10.55,15.66,7.62,4.18,12.67,8.63,10.94,10.35,20.08,17.44,-18.23,13.59,12.33,12.88,11.4,1.85,14.9,8.09,1.7,7.44,8.11,10.05,7.75,16.81,11.73,13.21,11.71,11.85,3.4,9.6,17.3,11.65,-2.01,16.52,12.95,9.63,11.15,4.85,1.49,17.01,14.42,10.16,13.81
